unix,date,symbol,open,high,low,close,Volume USD,Volume BTC,is higher lower
1618596000,2021-04-16 19:00:00,BTC/USD,61690.54,61942.8,61212.08,61918.8,10907757.95,176.1622956,1
1618603200,2021-04-16 21:00:00,BTC/USD,61863.98,62100.0,61482.9,62013.36,7165742.313,115.5515894,0
1618610400,2021-04-16 23:00:00,BTC/USD,61866.9,62179.17,61569.4,61639.94,5238355.862,84.98314343,0
1618617600,2021-04-17 01:00:00,BTC/USD,61436.23,61809.63,61234.08,61535.53,7744714.338,125.8576035,1
1618628400,2021-04-17 04:00:00,BTC/USD,62277.49,62596.48,61534.11,62477.81,7968126.195,127.5352993,0
1618635600,2021-04-17 06:00:00,BTC/USD,62265.64,62534.56,62074.08,62235.9,5607439.747,90.09976151,0
1618642800,2021-04-17 08:00:00,BTC/USD,62102.55,62420.33,61946.91,62189.58,5779750.347,92.93760059,0
1618653600,2021-04-17 11:00:00,BTC/USD,61764.66,62523.87,61304.28,61423.75,4447404.839,72.40529664,0
1618657200,2021-04-17 12:00:00,BTC/USD,61412.59,61489.44,60734.05,60947.3,11896094.48,195.1865707,1
1618660800,2021-04-17 13:00:00,BTC/USD,60900.0,61109.0,60534.75,61089.62,10339677.91,169.2542515,1
1618664400,2021-04-17 14:00:00,BTC/USD,61102.01,61205.73,60411.31,61102.26,11323826.63,185.3258231,0
1618671600,2021-04-17 16:00:00,BTC/USD,60695.05,61277.56,60145.23,60332.44,13339300.85,221.0966579,1
1618675200,2021-04-17 17:00:00,BTC/USD,60305.86,60746.47,60009.06,60448.84,10068800.8,166.5673121,1
1618682400,2021-04-17 19:00:00,BTC/USD,59795.58,60658.02,59676.67,60462.58,6654910.237,110.0665939,1
1618693200,2021-04-17 22:00:00,BTC/USD,60879.55,61000.0,60460.46,60810.56,3626574.123,59.63724266,0
1618700400,2021-04-18 00:00:00,BTC/USD,60705.75,60894.94,60000.0,60032.29,25719867.91,428.4338964,0
1618704000,2021-04-18 01:00:00,BTC/USD,60048.82,60433.81,59323.57,59469.31,14818734.35,249.1828869,0
1618707600,2021-04-18 02:00:00,BTC/USD,59462.59,59770.73,59050.0,59302.65,11642839.08,196.3291536,0
1618711200,2021-04-18 03:00:00,BTC/USD,59272.48,59500.05,58654.26,58866.98,15936281.39,270.7168159,0
1618714800,2021-04-18 04:00:00,BTC/USD,58855.51,59033.11,51541.16,55453.57,117610385.6,2120.880325,0
1618718400,2021-04-18 05:00:00,BTC/USD,55428.5,57939.99,54500.0,54901.59,80874659.41,1473.084102,1
1618722000,2021-04-18 06:00:00,BTC/USD,54885.32,56000.0,54695.63,55717.98,36424638.64,653.7322179,1
1618725600,2021-04-18 07:00:00,BTC/USD,55708.81,56755.0,55428.06,55859.4,36597576.86,655.1731106,1
1618729200,2021-04-18 08:00:00,BTC/USD,55869.78,56898.22,55860.67,56328.23,27984561.62,496.8123731,0
1618732800,2021-04-18 09:00:00,BTC/USD,56334.98,56665.76,54600.0,55031.01,27097528.92,492.4047173,1
1618736400,2021-04-18 10:00:00,BTC/USD,55117.8,55343.78,54046.6,55114.57,34841024.03,632.1563251,0
1618740000,2021-04-18 11:00:00,BTC/USD,55104.1,55529.83,54611.49,54771.5,28488403.75,520.1318889,0
1618743600,2021-04-18 12:00:00,BTC/USD,54753.76,55197.77,53123.0,53314.83,23712193.83,444.7579376,1
1618747200,2021-04-18 13:00:00,BTC/USD,53356.25,55159.09,53323.67,55058.62,49646493.95,901.7024755,1
1618750800,2021-04-18 14:00:00,BTC/USD,55058.5,55436.15,54761.56,55267.33,34707489.89,627.9928827,0
